Start Time,End Time,Volume,Open Actual,Open Predicted,High Actual,High Predicted,Low Actual,Low Predicted,Close Actual,Close Predicted
2024-10-02 04:05:59,2024-10-02 04:10:22,17.694,5331615,5328894.0,5332272,5333716.0,5322361,5322214.5,5322361,5320164.5
2024-10-02 04:10:22,2024-10-02 04:14:44,19.331,5322361,5329231.0,5327165,5333690.5,5319804,5321705.5,5327165,5319636.0
2024-10-02 04:14:44,2024-10-02 04:19:06,15.443,5327373,5328622.5,5327373,5333766.0,5320305,5321792.0,5321385,5319723.5
2024-10-02 04:19:06,2024-10-02 04:25:39,17.108,5321342,5298036.0,5322586,5296926.0,5308555,5293090.5,5311752,5289308.5
2024-10-02 04:25:39,2024-10-02 04:30:01,21.477,5310983,5298164.5,5322586,5310999.5,5309419,5304764.5,5320841,5312530.0
2024-10-02 04:30:01,2024-10-02 04:34:23,17.098,5320841,5298036.0,5321610,5296926.0,5311976,5293090.5,5312745,5289308.5
2024-10-02 04:34:23,2024-10-02 04:40:57,20.045,5313117,5298373.0,5314672,5296931.5,5306136,5292616.0,5310006,5288893.0
2024-10-02 04:40:57,2024-10-02 04:45:19,14.851,5310006,5299248.5,5312218,5296885.0,5304701,5292979.5,5312218,5289017.5
2024-10-02 04:45:19,2024-10-02 04:49:41,4.665,5312434,5299738.0,5312434,5296842.0,5306308,5292978.0,5307587,5288611.0
2024-10-02 04:49:41,2024-10-02 04:54:03,16.582,5308080,5298036.0,5317437,5311073.0,5307190,5305056.0,5315061,5312982.0
2024-10-02 04:54:03,2024-10-02 05:00:36,18.114,5315061,5298036.0,5317264,5296835.0,5306481,5292722.0,5310352,5289370.0
2024-10-02 05:00:36,2024-10-02 05:04:58,12.61,5309462,5295676.5,5315691,5310974.5,5307345,5305076.0,5314369,5312849.5
2024-10-02 05:04:58,2024-10-02 05:09:21,9.549,5313946,5296127.0,5317082,5311053.0,5311518,5305021.0,5314508,5312635.0
2024-10-02 05:09:21,2024-10-02 05:15:54,8.063,5315190,5295705.0,5318318,5296345.5,5310628,5292927.0,5311821,5289020.5
2024-10-02 05:15:54,2024-10-02 05:20:16,8.178,5312071,5295961.5,5319502,5310533.0,5309592,5304911.0,5318733,5312655.5
2024-10-02 05:20:16,2024-10-02 05:24:38,10.838,5319588,5295623.5,5320374,5296875.0,5311112,5293195.5,5312011,5288857.5
2024-10-02 05:24:38,2024-10-02 05:29:00,22.728,5311838,5298641.0,5314499,5296773.5,5300157,5293279.5,5305254,5289494.0
2024-10-02 05:29:00,2024-10-02 05:35:33,10.179,5306205,5295858.5,5308788,5296736.5,5301150,5293002.0,5303604,5288890.0
2024-10-02 05:35:33,2024-10-02 05:39:56,9.155,5303604,5295708.0,5307881,5296481.5,5302688,5293037.0,5305617,5289025.5
2024-10-02 05:39:56,2024-10-02 05:44:18,5.416,5305125,5295632.5,5310767,5296842.0,5305125,5292949.0,5309643,5288566.0
2024-10-02 05:44:18,2024-10-02 05:50:51,9.886,5309410,5295996.0,5310430,5296736.5,5304580,5293021.5,5305021,5288875.0
2024-10-02 05:50:51,2024-10-02 05:55:13,15.407,5304096,5297764.5,5305168,5296885.5,5297331,5293004.5,5297331,5288939.5
2024-10-02 05:55:13,2024-10-02 05:59:35,7.644,5297236,5296348.0,5310473,5296345.5,5297210,5292927.0,5308909,5288971.0
2024-10-02 05:59:35,2024-10-02 06:03:57,9.084,5309116,5295708.0,5316616,5310669.0,5309116,5305021.0,5315441,5312660.5
2024-10-02 06:03:57,2024-10-02 06:10:31,12.794,5315380,5295906.0,5317091,5296787.0,5297668,5293092.0,5302887,5289006.0
2024-10-02 06:10:31,2024-10-02 06:14:53,14.654,5303267,5299248.5,5316434,5311065.0,5303267,5304963.5,5316115,5312598.0
2024-10-02 06:14:53,2024-10-02 06:19:15,8.054,5315242,5295705.0,5315242,5296345.5,5309194,5292927.0,5310939,5289020.5
2024-10-02 06:19:15,2024-10-02 06:25:48,4.129,5310939,5299750.0,5314153,5311034.0,5309073,5304968.0,5314153,5312258.5
2024-10-02 06:25:48,2024-10-02 06:30:10,6.732,5313687,5295543.0,5320962,5310767.5,5313687,5305008.0,5319173,5312691.0
2024-10-02 06:30:10,2024-10-02 06:34:32,20.026,5318404,5329231.0,5328055,5333812.5,5318404,5321740.0,5324781,5319677.0
2024-10-02 06:34:32,2024-10-02 06:38:54,29.411,5324781,5326466.0,5333740,5333251.0,5323943,5321963.0,5327848,5321491.0
2024-10-02 06:38:54,2024-10-02 06:45:28,13.569,5327079,5325395.5,5334475,5336358.5,5325273,5321780.0,5333680,5333641.0
