startTime,open,high,low,close,endTime,volume
2024-09-28 13:09:20,5662853,5663925,5658960,5659479,2024-09-28 13:15:53,7.183
2024-09-28 13:15:53,5659479,5665941,5657663,5664185,2024-09-28 13:20:15,10.315
2024-09-28 13:20:15,5664150,5668043,5663666,5666667,2024-09-28 13:24:37,5.224
2024-09-28 13:24:37,5665880,5669600,5663666,5669479,2024-09-28 13:28:59,5.132
2024-09-28 13:28:59,5668691,5669686,5663761,5665975,2024-09-28 13:35:32,5.085
2024-09-28 13:35:32,5666079,5666486,5662619,5666140,2024-09-28 13:39:55,5.543
2024-09-28 13:39:55,5666140,5674098,5664557,5673311,2024-09-28 13:44:17,13.432
2024-09-28 13:44:17,5673311,5673311,5669513,5669902,2024-09-28 13:50:50,3.917
2024-09-28 13:50:50,5669902,5670984,5665015,5667576,2024-09-28 13:55:12,5.105
2024-09-28 13:55:12,5668380,5669678,5666399,5667861,2024-09-28 13:59:34,2.814
2024-09-28 13:59:34,5667861,5675802,5667074,5673060,2024-09-28 14:03:56,9.803
2024-09-28 14:03:56,5672273,5678760,5672273,5677904,2024-09-28 14:10:30,10.666
2024-09-28 14:10:30,5678051,5682384,5676485,5676485,2024-09-28 14:14:52,10.424
2024-09-28 14:14:52,5676485,5681018,5676485,5677644,2024-09-28 14:19:14,2.664
2024-09-28 14:19:14,5678933,5688967,5678146,5687678,2024-09-28 14:25:47,16.377
2024-09-28 14:25:47,5687678,5692617,5682134,5683941,2024-09-28 14:30:09,32.061
2024-09-28 14:30:09,5682653,5687471,5682653,5685983,2024-09-28 14:34:31,5.272
2024-09-28 14:34:31,5685870,5689841,5684919,5689322,2024-09-28 14:41:05,6.834
2024-09-28 14:41:05,5688535,5689157,5684746,5686926,2024-09-28 14:45:27,9.611
2024-09-28 14:45:27,5687410,5687410,5681122,5682704,2024-09-28 14:49:49,5.026
2024-09-28 14:49:49,5681917,5682938,5680663,5682921,2024-09-28 14:54:11,2.734
2024-09-28 14:54:11,5682921,5684988,5682134,5684201,2024-09-28 15:00:44,3.341
2024-09-28 15:00:44,5684201,5685040,5680412,5680646,2024-09-28 15:05:06,14.819
2024-09-28 15:05:06,5680646,5684305,5679028,5681459,2024-09-28 15:09:28,8.267
2024-09-28 15:09:28,5681459,5682748,5679374,5680378,2024-09-28 15:16:02,6.458
2024-09-28 15:16:02,5681173,5681364,5675568,5675568,2024-09-28 15:20:24,16.019
2024-09-28 15:20:24,5676520,5678596,5675222,5677809,2024-09-28 15:24:46,46.106
2024-09-28 15:24:46,5677809,5680282,5677125,5678319,2024-09-28 15:29:08,69.539
2024-09-28 15:29:08,5678319,5681191,5676226,5680577,2024-09-28 15:35:41,44.12
2024-09-28 15:35:41,5681364,5681364,5676226,5676528,2024-09-28 15:40:03,2.793
2024-09-28 15:40:03,5677316,5678423,5675179,5675179,2024-09-28 15:44:26,2.175
2024-09-28 15:44:26,5675179,5678051,5674937,5676087,2024-09-28 15:50:59,3.76
2024-09-28 15:50:59,5675395,5676952,5674530,5676952,2024-09-28 15:55:21,3.145
2024-09-28 15:55:21,5676165,5676355,5675049,5676009,2024-09-28 15:59:43,2.296
2024-09-28 15:59:43,5675222,5676009,5674020,5674184,2024-09-28 16:04:05,1.355
2024-09-28 16:04:05,5674184,5675620,5672627,5673319,2024-09-28 16:10:38,2.497
2024-09-28 16:10:38,5673025,5676174,5671598,5674124,2024-09-28 16:15:01,1.676
2024-09-28 16:15:01,5674020,5674807,5669574,5671771,2024-09-28 16:19:23,4.861
2024-09-28 16:19:23,5671684,5677558,5668899,5677212,2024-09-28 16:25:56,21.001
2024-09-28 16:25:56,5677212,5679807,5676598,5678362,2024-09-28 16:30:18,2.598
2024-09-28 16:30:18,5678362,5679288,5674530,5675482,2024-09-28 16:34:40,3.322
2024-09-28 16:34:40,5674695,5674695,5666936,5668890,2024-09-28 16:39:02,6.924
2024-09-28 16:39:02,5669773,5670984,5666313,5667524,2024-09-28 16:45:36,4.421
2024-09-28 16:45:36,5667697,5669098,5665361,5667852,2024-09-28 16:49:58,3.589
2024-09-28 16:49:58,5667065,5669946,5663666,5665794,2024-09-28 16:54:20,21.89
2024-09-28 16:54:20,5664678,5668164,5664323,5665759,2024-09-28 17:00:53,4.801
2024-09-28 17:00:53,5666321,5670638,5664800,5669851,2024-09-28 17:05:15,4.001
2024-09-28 17:05:15,5670949,5671996,5668899,5670179,2024-09-28 17:09:37,2.118
2024-09-28 17:09:37,5669392,5673233,5669392,5672869,2024-09-28 17:14:00,4.189
2024-09-28 17:14:00,5672082,5673752,5668994,5669799,2024-09-28 17:20:33,3.855
2024-09-28 17:20:33,5670984,5675845,5670837,5673752,2024-09-28 17:24:55,2.309
2024-09-28 17:24:55,5672965,5685126,5672965,5681753,2024-09-28 17:29:17,10.735
2024-09-28 17:29:17,5680412,5682566,5675222,5675793,2024-09-28 17:35:50,5.253
2024-09-28 17:35:50,5675395,5678942,5675179,5676226,2024-09-28 17:40:12,5.572
2024-09-28 17:40:12,5676226,5679980,5676226,5677956,2024-09-28 17:44:35,4.273
2024-09-28 17:44:35,5677117,5678942,5676779,5677904,2024-09-28 17:48:57,2.696
2024-09-28 17:48:57,5678405,5678405,5674184,5674184,2024-09-28 17:55:30,0.653
2024-09-28 17:55:30,5674184,5676174,5673146,5676174,2024-09-28 17:59:52,2.124
2024-09-28 17:59:52,5676347,5686381,5675560,5686035,2024-09-28 18:04:14,15.977
2024-09-28 18:04:14,5685248,5687419,5681459,5681459,2024-09-28 18:10:47,7.421
2024-09-28 18:10:47,5680585,5689149,5680421,5689149,2024-09-28 18:15:10,3.79
2024-09-28 18:15:10,5689149,5692929,5687419,5690100,2024-09-28 18:19:32,20.89
2024-09-28 18:19:32,5689235,5692704,5689235,5690377,2024-09-28 18:26:05,3.323
2024-09-28 18:26:05,5691225,5692609,5686813,5687696,2024-09-28 18:30:27,3.858
2024-09-28 18:30:27,5687765,5690360,5685550,5688889,2024-09-28 18:34:49,4.462
2024-09-28 18:34:49,5688716,5688716,5686035,5687739,2024-09-28 18:39:11,2.904
2024-09-28 18:39:11,5687739,5688526,5683647,5684037,2024-09-28 18:45:45,3.831
2024-09-28 18:45:45,5684028,5685689,5682834,5682834,2024-09-28 18:50:07,2.261
2024-09-28 18:50:07,5682834,5684227,5681753,5681753,2024-09-28 18:54:29,0.72
2024-09-28 18:54:29,5681753,5683267,5681104,5682030,2024-09-28 19:01:02,1.39
2024-09-28 19:01:02,5681243,5684962,5680931,5680931,2024-09-28 19:05:24,5.21
2024-09-28 19:05:24,5681718,5682869,5681320,5681511,2024-09-28 19:09:46,0.761
2024-09-28 19:09:46,5681519,5685343,5681519,5683872,2024-09-28 19:14:09,3.795
2024-09-28 19:14:09,5683872,5688517,5682661,5687592,2024-09-28 19:20:42,6.448
2024-09-28 19:20:42,5686805,5688803,5684270,5684270,2024-09-28 19:25:04,1.635
2024-09-28 19:25:04,5685075,5685075,5683552,5683552,2024-09-28 19:29:26,1.943
2024-09-28 19:29:26,5683552,5684097,5680931,5682497,2024-09-28 19:35:59,4.666
2024-09-28 19:35:59,5682497,5684132,5681104,5681104,2024-09-28 19:40:21,3.71
2024-09-28 19:40:21,5681891,5685377,5681891,5684028,2024-09-28 19:44:44,1.328
2024-09-28 19:44:44,5683241,5684824,5682834,5682834,2024-09-28 19:49:06,0.562
2024-09-28 19:49:06,5682834,5684270,5682419,5682480,2024-09-28 19:55:39,13.819
2024-09-28 19:55:39,5682480,5684478,5681173,5684331,2024-09-28 20:00:01,5.937
2024-09-28 20:00:01,5683544,5687419,5681649,5686632,2024-09-28 20:04:23,3.088
2024-09-28 20:04:23,5686632,5688284,5686450,5687497,2024-09-28 20:10:56,1.283
2024-09-28 20:10:56,5688284,5688284,5685014,5686294,2024-09-28 20:15:19,2.094
2024-09-28 20:15:19,5686294,5686294,5683656,5686104,2024-09-28 20:19:41,1.034
2024-09-28 20:19:41,5685317,5687419,5685317,5685775,2024-09-28 20:24:03,1.652
2024-09-28 20:24:03,5685671,5688111,5685602,5686121,2024-09-28 20:30:36,0.981
2024-09-28 20:30:36,5685645,5686329,5684391,5684391,2024-09-28 20:34:58,16.793
2024-09-28 20:34:58,5684218,5685637,5683526,5684850,2024-09-28 20:39:20,1.677
2024-09-28 20:39:20,5684850,5686009,5684391,5684391,2024-09-28 20:45:54,0.316
2024-09-28 20:45:54,5684391,5684417,5682947,5683007,2024-09-28 20:50:16,1.315
2024-09-28 20:50:16,5683794,5684227,5676001,5676087,2024-09-28 20:54:38,16.376
2024-09-28 20:54:38,5675741,5678942,5675741,5677212,2024-09-28 20:59:00,1.938
2024-09-28 20:59:00,5677333,5680274,5676546,5679201,2024-09-28 21:05:33,2.536
2024-09-28 21:05:33,5679201,5680672,5679201,5679426,2024-09-28 21:09:55,0.482
2024-09-28 21:09:55,5679426,5680213,5667446,5668769,2024-09-28 21:14:17,13.348
2024-09-28 21:14:17,5668657,5669946,5658268,5660604,2024-09-28 21:20:51,20.349
2024-09-28 21:20:51,5660777,5668562,5657810,5667714,2024-09-28 21:25:13,25.097
2024-09-28 21:25:13,5668536,5675560,5667264,5671563,2024-09-28 21:29:35,10.74
2024-09-28 21:29:35,5671563,5676606,5671563,5676606,2024-09-28 21:33:57,1.739
2024-09-28 21:33:57,5676632,5679634,5675845,5677584,2024-09-28 21:40:30,4.077
2024-09-28 21:40:30,5676797,5681649,5673717,5679919,2024-09-28 21:44:52,4.174
2024-09-28 21:44:52,5679893,5681329,5676520,5676520,2024-09-28 21:49:15,3.828
2024-09-28 21:49:15,5676476,5679461,5676226,5676606,2024-09-28 21:55:48,2.44
2024-09-28 21:55:48,5676606,5681710,5676113,5681710,2024-09-28 22:00:10,5.705
2024-09-28 22:00:10,5682056,5686208,5678509,5679539,2024-09-28 22:04:32,8.727
2024-09-28 22:04:32,5680326,5682912,5671070,5675430,2024-09-28 22:08:54,9.487
2024-09-28 22:08:54,5674643,5678051,5671304,5677004,2024-09-28 22:15:28,2.036
2024-09-28 22:15:28,5676892,5681191,5676226,5681191,2024-09-28 22:19:50,2.991
2024-09-28 22:19:50,5680404,5684573,5680404,5681701,2024-09-28 22:24:12,6.284
2024-09-28 22:24:12,5681701,5685862,5681701,5683552,2024-09-28 22:30:45,1.648
2024-09-28 22:30:45,5683552,5687125,5679833,5687125,2024-09-28 22:35:07,6.273
2024-09-28 22:35:07,5687246,5689062,5684599,5686459,2024-09-28 22:39:29,5.739
2024-09-28 22:39:29,5686459,5688111,5682506,5683293,2024-09-28 22:46:03,2.353
2024-09-28 22:46:03,5683959,5687073,5683172,5685689,2024-09-28 22:50:25,2.302
2024-09-28 22:50:25,5685256,5687419,5683552,5683552,2024-09-28 22:54:47,2.763
2024-09-28 22:54:47,5684339,5684824,5680412,5680412,2024-09-28 22:59:09,3.486
2024-09-28 22:59:09,5680231,5681580,5678336,5680153,2024-09-28 23:05:42,2.016
2024-09-28 23:05:42,5679366,5680153,5677471,5679357,2024-09-28 23:10:04,2.331
2024-09-28 23:10:04,5679357,5679357,5676779,5676779,2024-09-28 23:14:26,1.854
2024-09-28 23:14:26,5676520,5677627,5676226,5677333,2024-09-28 23:21:00,0.507
2024-09-28 23:21:00,5677333,5679097,5674357,5674357,2024-09-28 23:25:22,0.912
2024-09-28 23:25:22,5674357,5677912,5674357,5677912,2024-09-28 23:29:44,1.253
2024-09-28 23:29:44,5678769,5681883,5677982,5680758,2024-09-28 23:34:06,0.899
2024-09-28 23:34:06,5680758,5681537,5679902,5680689,2024-09-28 23:40:39,1.803
2024-09-28 23:40:39,5681122,5683284,5680334,5683284,2024-09-28 23:45:01,1.154
2024-09-28 23:45:01,5683734,5696320,5682402,5692782,2024-09-28 23:49:24,35.872
2024-09-28 23:49:24,5691995,5706570,5691726,5700653,2024-09-28 23:55:57,70.581
2024-09-28 23:55:57,5700653,5702124,5695065,5695065,2024-09-29 00:00:19,9.017
2024-09-29 00:00:19,5695628,5698984,5694425,5694425,2024-09-29 00:04:41,12.635
2024-09-29 00:04:41,5695212,5698387,5690446,5693214,2024-09-29 00:09:03,13.639
2024-09-29 00:09:03,5693206,5696216,5692176,5695212,2024-09-29 00:15:36,4.356
2024-09-29 00:15:36,5694425,5702444,5692972,5699875,2024-09-29 00:19:59,7.155
2024-09-29 00:19:59,5698923,5706103,5698923,5705800,2024-09-29 00:24:21,18.846
2024-09-29 00:24:21,5705800,5707305,5697453,5699529,2024-09-29 00:30:54,14.486
2024-09-29 00:30:54,5698058,5698058,5688794,5689227,2024-09-29 00:35:16,14.205
2024-09-29 00:35:16,5690014,5694797,5689235,5690282,2024-09-29 00:39:38,6.937
2024-09-29 00:39:38,5690282,5691657,5685948,5686113,2024-09-29 00:44:00,7.687
2024-09-29 00:44:00,5687220,5690092,5676658,5688413,2024-09-29 00:50:34,19.144
2024-09-29 00:50:34,5687626,5689797,5679720,5681623,2024-09-29 00:54:56,20.74
2024-09-29 00:54:56,5681623,5687246,5678509,5681000,2024-09-29 00:59:18,3.848
2024-09-29 00:59:18,5680317,5687471,5680317,5686121,2024-09-29 01:05:51,5.216
2024-09-29 01:05:51,5685429,5688474,5682384,5683172,2024-09-29 01:10:13,5.194
